Issue No.,Issue Summary,Issue Description,Comment 1,Comment 2,Comment 3,Final Outcome
1,API - Agent API Missing Hire Date,API not always returning hireDate; affects some agents. Example agent returns null; observed since March 2026.,UserHub sending null HireDate to ACD; needs fix via lambdas.,UserHub API has value; mismatch due to different data source.,InData sync via lambda missing correct value; ACD ready; UserHub action needed.,Moved to UserHub team; product discussion initiated.
2,Agents Receiving Email Interactions in Unavailable Status,Agents received emails while unavailable due to Auto Parked Email limit changed from 0 to 25 without approval.,Initial investigation; suspected system/previous changes.,Static Delivery used; recommend Omni Channel to avoid issue.,Auto reset caused by weekly job/UserHub updates; bug AAD-47814 logged and fix planned.,Customer informed; KI planned; recommend Omni Channel migration.
3,Emails not routed to correct agents,Customer reported inconsistent behavior affecting multiple agents across business units.,Bug logged for further tracking.,Bug logged for further tracking.,UserHub data not reflecting correctly in ACD.,Client advised workaround and best practices.
4,Agents stuck in unavailable state,Problem replicated in lower environment; logs indicate possible sync or configuration issue.,Logs indicate possible delay in lambda sync.,Requires validation from API and backend services.,Requires validation from API and backend services.,Client advised workaround and best practices.
5,POC not linked to Business Unit,Problem replicated in lower environment; logs indicate possible sync or configuration issue.,Routing engine behaving as per current configuration.,Initial investigation suggests configuration mismatch.,Weekly maintenance job might be overwriting values.,Routed to respective team for further action.
6,Agents stuck in unavailable state,Problem replicated in lower environment; logs indicate possible sync or configuration issue.,Routing engine behaving as per current configuration.,Bug logged for further tracking.,Requires validation from API and backend services.,Monitoring enabled for future validation.
7,Agents stuck in unavailable state,Customer reported inconsistent behavior affecting multiple agents across business units.,Routing engine behaving as per current configuration.,Routing engine behaving as per current configuration.,Needs cross-team investigation (ACD + UserHub).,Routed to respective team for further action.
8,Chat interactions delayed in queue,Customer reported inconsistent behavior affecting multiple agents across business units.,Needs cross-team investigation (ACD + UserHub).,Requires validation from API and backend services.,Initial investigation suggests configuration mismatch.,Bug fix deployed to production.
9,POC not linked to Business Unit,Observed issue in ACD where expected behavior is not occurring. Investigation required across routing and data sync.,UserHub data not reflecting correctly in ACD.,UserHub data not reflecting correctly in ACD.,Needs cross-team investigation (ACD + UserHub).,Client advised workaround and best practices.
10,POC not linked to Business Unit,Customer reported inconsistent behavior affecting multiple agents across business units.,Initial investigation suggests configuration mismatch.,Needs cross-team investigation (ACD + UserHub).,Routing engine behaving as per current configuration.,Client advised workaround and best practices.
11,Disposition notes not saving after call,Customer reported inconsistent behavior affecting multiple agents across business units.,Logs indicate possible delay in lambda sync.,Requires validation from API and backend services.,Initial investigation suggests configuration mismatch.,Issue resolved via configuration correction.
12,Agents stuck in unavailable state,Problem replicated in lower environment; logs indicate possible sync or configuration issue.,Routing engine behaving as per current configuration.,Weekly maintenance job might be overwriting values.,Requires validation from API and backend services.,Bug fix deployed to production.
13,"A single recording is returning ""Playback Unavailable - Error 8203"" across all applications and all user permission levels. The recording is showing as available in active storage but cannot be played back.","? Single CID affected — no other recordings reported with this issue
? Active storage — Interactions Hub confirms the recording is in active storage, not archived or deleted
? All users affected — including impersonated admin with full Administrator permissions — rules out a permissions issue
? Multiple applications failing — error occurs in both Interactions Hub and Contact History Report
? Not yet tested in QM or Supervisor — customer is testing and will report back
? Not a permissions/license issue — impersonated admin with full rights cannot play the recording
Error Details:
Error: Playback Unavailable — Error 8203
Where: Interactions Hub + Contact History Report
Who: All users including impersonated admin",I went ahead and tried to play the recording from the Supervisor Agent activity tab and ran into the same error as if I try to play the recording from interactions or the contact history report.,"Interactions Hub: There was a system error and this recording is not available. Error 8203
 
Get file shows that the file is available in Storage, Active Playable, and is complete. File name: 2026-05-28-20-37-12_707697080290_VOICE_d1c28cdd-2dd2-4443-86e9-8542f9b5e66f.mp4
 
Same error in Contact history.
 
 
Send this to Mpower Recording.
 
 
CID 707697080290 cannot be played back Console.log
CID 707697080290 cannot be played back.har
 
CID 707697080290 cannot be played back Console.log
CID 707697080290 cannot be played back.har","updating customer Michael Fainstein
 
Saranya Rao Hi, please review.
 
Will analyse and update by tomorrow
 
thank you
 
Hi Michael Fainstein
There are two recordings in this segment:
One recording is in failed status.
The other is a statement recording, which is not playable in the player as per design.
 could you please check from the recording side why the first recording in this segment is showing a failed status?
 
Contact ID 707697080290 Start time 05/28/2026  - Will take a look.
 
'Failed' recording is actually a 'Short' recording which is not being recorded.",Failed' recording is actually a 'Short' recording which is not being recorded.
14,"Recording is fine in storage, voice and screen appear to be just over 8 minutes long. ","Hi Mike / Richard
we have analyzed the media and found that the uploaded media have corrupt packets. So the playback stops at 3:49
 
analyzed via ffmpeg as well","CXone Mpower Recording Can we please confirm the cause of the corruption of data is it internal to Nice or was brought about by a problem on the customer side?
 
adding on, The corruption is on audio media which is uploaded on File Storage.","Customer responded ""I'm able to play the full recording outside of Cxone (by downloading the recording) . 
If this issue was due to corrupt packets, would the issue not persist when playing the recording outside of Cxone?""
 
What player is it that we use withing CXone again? Is it the chromium player?
 
Richard, In CXone Player, playback is handled using an HTML video element, which is responsible for decoding and playing the media stream. When the media file has a corrupted or incomplete package, the decoding process gets disrupted, which leads to playback stopping unexpectedly.
 
Regarding handling of such corrupted media, we had previously evaluated potential approaches. However, due to strict playback SLAs and the need for seamless on-the-fly stream switching, introducing re-encoding or correction at the playback stage is not feasible. As a result, this type of issue needs to be addressed at the recording stage itself. These were discussed earlier as well and users still have the option to download the media file and try accessing the recording using other media player tools.","The voice recording was unremarkable, but the screen recording required a ""timing fix"" to address some issue in the merge of the videos
 
Vinayak Bhati` Richard Palmer can you see if the audio plays but when adding screen it causes the problem? 
 
Cfir Moshe would this timing fix cause a problem with the resulting file? it's segment b2756ab4-c1c2-4461-bb35-c78af3a705e8 on UK1, on May 3
 
Mike, as per analysis the audio media file at File Storage is having corrupt packets. So, after stitching audio and video (no reencoding at player end) same corrupt packets can be seen in output media and hence playback stops intermediately. 
 
Analyzed Audio media at File Storage:
1)Analyzed using ffmpeg (only audio file from FS):
ffmpeg -i <input> -f null -
 
2) Analyzed with edge Media Plugin (only audio file from FS)
 
 
 
Okay interesting, I see no issues whatsoever when we create the mp4 file from the raw files. 
 
Let me go back and look at the recording itself maybe the recorder logs will show some issues when we actually recorded it. 
 
Call was perfect in the recorder, zero issues marked. Very strange. 
 
Vinayak Bhati` anything you think recording could do better here? we transcode millions of calls per day, why does this one act weird. Could we do something better when we encode to mp4? 
 
Mike, As mentioned earlier in this thread, we have strict SLA requirements from the end of playback. Our previous analysis for similar scenarios indicated that adding support for such media could violate SLA. Since media corruption is unpredictable, decoding every file received for playback would risk breaching SLA and negatively impact the customer playback experience.
 
Okay, understood, thank you. Rich I don't see anything we could do better here. Going to close this swarm as we cannot reproduce the issue in the lab","Mike, as per analysis the audio media file at File Storage is having corrupt packets. So, after stitching audio and video (no reencoding at player end) same corrupt packets can be seen in output media and hence playback stops intermediately. 
 
Analyzed Audio media at File Storage:
1)Analyzed using ffmpeg (only audio file from FS):
ffmpeg -i <input> -f null -
 
2) Analyzed with edge Media Plugin (only audio file from FS)
 
 
 
Okay interesting, I see no issues whatsoever when we create the mp4 file from the raw files. 
 
Let me go back and look at the recording itself maybe the recorder logs will show some issues when we actually recorded it. 
 
Call was perfect in the recorder, zero issues marked. Very strange. 
 
Vinayak Bhati` anything you think recording could do better here? we transcode millions of calls per day, why does this one act weird. Could we do something better when we encode to mp4? 
 
Mike, As mentioned earlier in this thread, we have strict SLA requirements from the end of playback. Our previous analysis for similar scenarios indicated that adding support for such media could violate SLA. Since media corruption is unpredictable, decoding every file received for playback would risk breaching SLA and negatively impact the customer playback experience.
 
Okay, understood, thank you. Rich I don't see anything we could do better here. Going to close this swarm as we cannot reproduce the issue in the lab
 "
15,API - Agent API Missing Hire Date,API not always returning hireDate; affects some agents. Example agent returns null; observed since March 2026.,UserHub sending null HireDate to ACD; needs fix via lambdas.,UserHub API has value; mismatch due to different data source.,InData sync via lambda missing correct value; ACD ready; UserHub action needed.,Moved to UserHub team; product discussion initiated.
16,Agents Receiving Email Interactions in Unavailable Status,Agents received emails while unavailable due to Auto Parked Email limit changed from 0 to 25 without approval.,Initial investigation; suspected system/previous changes.,Static Delivery used; recommend Omni Channel to avoid issue.,Auto reset caused by weekly job/UserHub updates; bug AAD-47814 logged and fix planned.,Customer informed; KI planned; recommend Omni Channel migration.
17,Recordings deleted earlier than expected retention period.,"Customer reports recordings from 01/27/2026 (including CID 803807763423) are gone, but their retention policy is 180 days. Concerned about premature deletion.",Checked deletion logs - records were purged by the retention job. Verifying which retention value was applied.,Tomas Novak found two retention policies applied to the business unit; the shorter one took precedence due to ordering.,Daniel Cohen confirmed the policy conflict. Corrected ordering so the longer retention applies going forward; deleted media is not recoverable.,Conflicting retention policies caused early purge. Policy ordering fixed; customer informed deleted recordings cannot be restored.
18,Recording is fine in storage; voice and screen appear to be just over 10 minutes long but playback stops early.,"We have analyzed the media and found the uploaded media has corrupt packets, so playback stops at 1:55. Analyzed via ffmpeg. Segment f4037b9c-0f25-60d2-bca4-4a3a1728ee60 on UK1, recorded 01/14/2026. Need to confirm whether the corruption is internal to NICE or originated on the customer side.","The corruption is on the audio media uploaded to File Storage. Customer reports they can play the full recording outside CXone by downloading it, and asks why the issue would not persist outside the player.","In CXone Player, playback uses an HTML video element to decode the stream. When the file has corrupt or incomplete packets the decode is disrupted and playback stops. Olga Petrova ran ffmpeg -i <input> -f null - on the audio-only file from File Storage and confirmed the corrupt packets.","Due to strict playback SLAs and on-the-fly stream switching, re-encoding or correction at the playback stage is not feasible - this must be addressed at the recording stage. Hiroshi Tanaka confirmed the recorder logs showed zero issues at capture, so cause is unclear.",Cannot reproduce in lab; corrupt packets confirmed at File Storage. Customer advised to download and use an external player. Swarm closed.
19,"Recording for a single CID is returning ""Playback Unavailable - Error 9002"" across multiple applications. The recording shows as available in active storage but cannot be played back.","Single CID affected - no other recordings reported with this issue. Active storage - MAX Agent confirms the recording is present, not archived or deleted. All users affected including impersonated admin with full Administrator permissions, which rules out a permissions issue. Error occurs in both MAX Agent and Quality Planner. Error: Playback Unavailable - Error 9002. CID 501440055801.","Reproduced from Quality Planner. Get file shows the recording is in Storage, Active Playable, and complete. File name: 2026-04-06-17-55-42_501440055801_VOICE_76080f45-079f-372f-a317-c89d9b14cd8a.mp4. Same error in MAX Agent. Routing to Mpower Recording.",Updating Anita from the customer side. James Whitaker please review. Will analyse and update by tomorrow.,"There are two recordings in this segment: one is in failed status and the other is a statement recording, which is not playable in the player as per design. Vinayak Bhati checked from the recording side - the first recording is showing a failed status.",'Failed' recording is actually a 'Short' recording which was not captured. KI shared with customer.
20,Recording playback is extremely slow / constantly buffering.,Playback for CID 812040124123 and others buffers every few seconds for users in the APAC region. Download works fine.,Storage and file integrity confirmed good. Issue appears network/CDN related rather than media.,"Laura Bianchi ran a HAR capture - segment requests are taking 11s each, suggesting a CDN edge or routing issue for that region.",Priya Nair confirmed with the platform team that one CDN edge node was unhealthy and pulled it from rotation.,Unhealthy CDN edge node caused buffering. Node removed from rotation; playback latency back to normal.
21,Screen recording plays back as a black/blank screen while the voice portion plays normally.,Customer reports the agent screen recording for CID 158628775857 shows only a black frame on playback. Voice audio is intact. Observed on multiple interactions for the same agent workstation.,"Checked the segment in File Storage - voice file present and playable, screen file size is abnormally small (39 KB).",Arjun Mehta suspects the Screen Agent did not capture frames - likely a display driver or multi-monitor scaling issue on the agent machine.,Priya Nair confirmed the screen recorder uploaded an almost-empty stream. Recommend updating the Screen Agent and verifying GPU/driver on the affected workstation.,Root cause traced to outdated Screen Agent on the workstation. Agent reinstalled; subsequent recordings captured correctly.
22,Encrypted recordings fail to play with a decryption error.,"Customer using recording encryption reports playback fails for CID 998928434940 with a key/decrypt error, while older recordings play fine.",Confirmed the media is present; failure is at the decrypt step in the player.,Marco Rossi found a recent key rotation - newer recordings reference a key version the playback service had not picked up.,James Whitaker refreshed the key cache on the playback service; affected recordings now decrypt and play.,"Key rotation not propagated to playback service. Key cache refreshed; playback restored, monitoring added on rotation."
23,Bulk recording export / download fails or produces empty files.,Customer's scheduled export including CID 761033883457 completes with 0-byte files for a subset of interactions. Others in the same job are fine.,Checked the export job - 40 of the segments failed to package. The failed ones are all screen recordings.,Saranya Rao found the export packager timed out on large screen files exceeding the size threshold.,Tomas Novak re-ran the export with the failed segments split into smaller batches; files packaged correctly.,Export packager timed out on oversized screen files. Batch size reduced; defect logged to raise the packager timeout.
24,Playing one interaction returns the audio of a different interaction.,Agent opened CID 643479445825 but the audio played belongs to CID 431539274967 (different customer). Potential data-privacy concern; escalated.,Confirmed the metadata for 643479445825 points to the media file of 431539274967. Looks like a segment association error.,Wei Chen traced a mismatched segment ID written during stitching for a transferred/conferenced call.,Hiroshi Tanaka confirmed the association bug occurs on specific transfer scenarios; corrected the affected records.,Segment association error on transferred calls mapped wrong media. Records corrected; defect logged to recording stitching.
25,Recordings not appearing in Search & Replay despite existing.,Recordings such as CID 229964865348 are missing from Search & Replay results but are reachable via direct Contact History link.,Media and Contact History entries exist; the search index has no entry for these CIDs.,Kevin Park found the indexing job skipped a window due to a transient error and did not retry.,Wei Chen re-indexed the affected time range; recordings now searchable.,Search indexing gap from a transient failure. Affected window re-indexed; retry logic flagged for hardening.
26,Interaction exists in Contact History but the recording is missing entirely.,CID 530300936669 appears in Contact History Report with talk time but there is no associated recording. Customer expects 100% recording on this queue. No archive entry found.,Get file returns no media for the segment. Checked both active and archive storage - nothing present.,Sandeep Kulkarni reviewed recorder logs for the timestamp - no recording trigger received for this contact. Possible recording rule / business unit mapping gap.,Saranya Rao confirmed the recording control did not start; the call matched a queue not included in the recording profile.,Recording profile did not cover the queue. Profile updated; customer informed prior interactions cannot be recovered.
27,On-demand recording does not start when the agent triggers it.,Agents using on-demand recording report that pressing record has no effect for some calls (e.g. CID 644216680255); no recording is produced.,Reproduced - the on-demand toggle sends the request but no recording control session is created for certain skills.,"Megan O'Brien found those skills were set to 'Do Not Record' at profile level, which overrides the on-demand request.",Priya Nair confirmed the profile precedence; recommend setting the skills to on-demand-eligible.,Profile 'Do Not Record' overrode on-demand. Skills reconfigured to allow on-demand; validated.
28,Archived recording fails to retrieve / rehydrate for playback.,"Customer attempted to play an archived recording (CID 169427120716, 04/01/2026) and it does not return after the expected rehydration window.",Confirmed the recording is in cold/archive storage. Retrieval request submitted but the object did not return to active.,Saranya Rao checked the archive job - the retrieval request errored on a lifecycle policy mismatch.,Megan O'Brien re-submitted the rehydration with corrected parameters; recording now retrievable.,Archive lifecycle policy mismatch blocked retrieval. Re-submitted successfully; recording playable after rehydration.
29,Recording is truncated - playback far shorter than the actual call duration.,Contact History shows CID 843407328329 talk time of 15 minutes but the recording is only 3 minutes long.,File in storage matches the short duration; the rest of the call was not captured.,"Vinayak Bhati found the recorder lost the media stream mid-call (RTP gap), so capture stopped while the call continued.",Megan O'Brien confirmed an RTP timeout on the recorder during a network blip; the remainder was never received.,RTP stream loss mid-call truncated the recording. Network event confirmed; recorder timeout settings reviewed.
30,Recording exists but transcription / analytics did not generate.,CID 920583406466 has a playable recording but no transcript appears in Interaction Analytics. Affecting 8 interactions on one queue.,Confirmed media is present and playable. Transcription job shows no submission for these CIDs.,"Daniel Cohen found the analytics profile was not enabled for the affected skill, so recordings were not queued for transcription.",Cfir Moshe enabled the profile and reprocessed a sample - transcripts now generating.,Analytics profile not enabled for the skill. Enabled and reprocessed; historical reprocessing scheduled.
31,Voice and screen are out of sync on playback.,"For CID 247121991311, screen lags audio by ~8 seconds and the drift increases toward the end of the recording. Reported by the QM team reviewing evaluations.",Both voice and screen files are present and complete in storage; the merge timing appears off during stitching.,Vinayak Bhati notes the screen recording required a timing fix during the merge of the video segments - similar to prior known cases.,James Whitaker confirmed clock drift between the screen agent and recorder caused the offset; applied the timing correction at stitch.,Clock drift on the screen agent caused A/V offset. Timing fix applied; agent time sync (NTP) corrected on the workstation.
32,PCI pause/resume not masking - sensitive audio audible in recording.,"During payment capture on CID 301603131174, the recording should pause but the card details are audible on playback. Compliance-impacting; customer escalated.",Reviewed the recording - pause event present in metadata but audio continued. API pause command timing under review.,"Cfir Moshe found the pause API call was acknowledged ~4s late, so a window of audio was captured before masking took effect.",Saranya Rao confirmed an integration delay between the agent app and recording control. Recommend stop-record (not pause) for PCI segments.,Pause latency confirmed. Customer moved to full stop-record for payment steps; defect logged for pause acknowledgment timing.
33,Supervisors cannot play recordings they should have access to.,A group of supervisors get 'You do not have permission' when opening recordings (e.g. CID 331336362692) for agents in their team.,"Confirmed the recordings play fine for an admin, so media is healthy - this is a permissions/scope issue.",Daniel Cohen checked the supervisors' view/role - the team view does not include the agents' current business unit after a recent reorg.,Laura Bianchi updated the view scope to include the moved agents; playback now works for the supervisors.,View scope did not cover reorganized agents. Scope updated; supervisors can now access the recordings.
34,Recordings stuck in 'Processing' / 'Pending Upload' and never become playable.,A batch of recordings including CID 888054489203 has been in Pending Upload state for over 7 hours. Customer cannot play or export them.,Confirmed upload queue backlog on CA1. Files exist on the recorder but have not transferred to File Storage.,Saranya Rao found the upload worker had stalled due to a credential/token expiry. Restarted the service.,Ravi Teja confirmed the backlog is draining; affected CIDs becoming playable.,"Upload service token expiry caused the stall. Service restarted, backlog cleared, monitoring added on upload lag."
35,Recording plays but has no audio on one or both channels.,Playback for CID 194276116378 runs the full duration with no audible audio. Waveform shows flat line on the customer channel. Reported across 4 interactions.,Storage shows the file as Pending Upload. Downloaded file confirms one silent channel.,"Vinayak Bhati checked SIPREC/RTP capture - one media leg appears not to have reached the recorder, pointing to a telephony/SBC config issue.",Kevin Park verified the recorder received only a single RTP stream for these calls. Handing to the voice/telephony team for SBC review.,Confirmed missing media leg at the SBC. Routed to telephony team; config corrected and validated on test calls.
36,"Recording for a single CID is returning ""Playback Unavailable - Error 9002"" across multiple applications. The recording shows as available in active storage but cannot be played back.","Single CID affected - no other recordings reported with this issue. Active storage - Quality Planner confirms the recording is present, not archived or deleted. All users affected including impersonated admin with full Administrator permissions, which rules out a permissions issue. Error occurs in both Quality Planner and CXone Player. Error: Playback Unavailable - Error 9002. CID 534336588206.","Reproduced from CXone Player. Get file shows the recording is in Storage, Active Playable, and complete. File name: 2026-01-13-14-50-18_534336588206_VOICE_f9125cfa-3c53-fab2-dda9-b53f4bd53a6e.mp4. Same error in Quality Planner. Routing to Mpower Recording.",Updating the customer's QM lead. Marco Rossi please review. Will analyse and update by tomorrow.,"There are two recordings in this segment: one is in failed status and the other is a statement recording, which is not playable in the player as per design. Richard Palmer checked from the recording side - the first recording is showing a failed status.",'Failed' recording is actually a 'Short' recording which was not captured. KI shared with customer.
37,Recording plays but has no audio on one or both channels.,Playback for CID 264672991750 runs the full duration with no audible audio. Waveform shows flat line on the customer channel. Reported across 11 interactions.,"Storage shows the file as Active, complete. Downloaded file confirms one silent channel.","Vinayak Bhati checked SIPREC/RTP capture - one media leg appears not to have reached the recorder, pointing to a telephony/SBC config issue.",Sandeep Kulkarni verified the recorder received only a single RTP stream for these calls. Handing to the voice/telephony team for SBC review.,Confirmed missing media leg at the SBC. Routed to telephony team; config corrected and validated on test calls.
38,PCI pause/resume not masking - sensitive audio audible in recording.,"During payment capture on CID 843388511229, the recording should pause but the card details are audible on playback. Compliance-impacting; customer escalated.",Reviewed the recording - pause event present in metadata but audio continued. API pause command timing under review.,"Ravi Teja found the pause API call was acknowledged ~2s late, so a window of audio was captured before masking took effect.",Wei Chen confirmed an integration delay between the agent app and recording control. Recommend stop-record (not pause) for PCI segments.,Pause latency confirmed. Customer moved to full stop-record for payment steps; defect logged for pause acknowledgment timing.
