Issue No.,Issue Summary,Issue Description,Comment 1,Comment 2,Comment 3,Final Outcome
39,Encrypted recordings fail to play with a decryption error.,"Customer using recording encryption reports playback fails for CID 448753449762 with a key/decrypt error, while older recordings play fine.",Confirmed the media is present; failure is at the decrypt step in the player.,Olga Petrova found a recent key rotation - newer recordings reference a key version the playback service had not picked up.,Marco Rossi refreshed the key cache on the playback service; affected recordings now decrypt and play.,"Key rotation not propagated to playback service. Key cache refreshed; playback restored, monitoring added on rotation."
40,Archived recording fails to retrieve / rehydrate for playback.,"Customer attempted to play an archived recording (CID 343643446833, 01/05/2026) and it does not return after the expected rehydration window.",Confirmed the recording is in cold/archive storage. Retrieval request submitted but the object did not return to active.,Olga Petrova checked the archive job - the retrieval request errored on a lifecycle policy mismatch.,Richard Palmer re-submitted the rehydration with corrected parameters; recording now retrievable.,Archive lifecycle policy mismatch blocked retrieval. Re-submitted successfully; recording playable after rehydration.
41,Recording playback is extremely slow / constantly buffering.,Playback for CID 534496416870 and others buffers every few seconds for users in the US East region. Download works fine.,Storage and file integrity confirmed good. Issue appears network/CDN related rather than media.,"Priya Nair ran a HAR capture - segment requests are taking 6s each, suggesting a CDN edge or routing issue for that region.",Olga Petrova confirmed with the platform team that one CDN edge node was unhealthy and pulled it from rotation.,Unhealthy CDN edge node caused buffering. Node removed from rotation; playback latency back to normal.
42,Supervisors cannot play recordings they should have access to.,A group of supervisors get 'You do not have permission' when opening recordings (e.g. CID 525859977655) for agents in their team.,"Confirmed the recordings play fine for an admin, so media is healthy - this is a permissions/scope issue.",James Whitaker checked the supervisors' view/role - the team view does not include the agents' current business unit after a recent reorg.,Olga Petrova updated the view scope to include the moved agents; playback now works for the supervisors.,View scope did not cover reorganized agents. Scope updated; supervisors can now access the recordings.
43,On-demand recording does not start when the agent triggers it.,Agents using on-demand recording report that pressing record has no effect for some calls (e.g. CID 980902572360); no recording is produced.,Reproduced - the on-demand toggle sends the request but no recording control session is created for certain skills.,"Daniel Cohen found those skills were set to 'Do Not Record' at profile level, which overrides the on-demand request.",Richard Palmer confirmed the profile precedence; recommend setting the skills to on-demand-eligible.,Profile 'Do Not Record' overrode on-demand. Skills reconfigured to allow on-demand; validated.
44,Playing one interaction returns the audio of a different interaction.,Agent opened CID 704194056141 but the audio played belongs to CID 753546459271 (different customer). Potential data-privacy concern; escalated.,Confirmed the metadata for 704194056141 points to the media file of 753546459271. Looks like a segment association error.,Hiroshi Tanaka traced a mismatched segment ID written during stitching for a transferred/conferenced call.,Kevin Park confirmed the association bug occurs on specific transfer scenarios; corrected the affected records.,Segment association error on transferred calls mapped wrong media. Records corrected; defect logged to recording stitching.
45,Recording exists but transcription / analytics did not generate.,CID 309483150716 has a playable recording but no transcript appears in Interaction Analytics. Affecting 34 interactions on one queue.,Confirmed media is present and playable. Transcription job shows no submission for these CIDs.,"Anita Desai found the analytics profile was not enabled for the affected skill, so recordings were not queued for transcription.",Tomas Novak enabled the profile and reprocessed a sample - transcripts now generating.,Analytics profile not enabled for the skill. Enabled and reprocessed; historical reprocessing scheduled.
46,Interaction exists in Contact History but the recording is missing entirely.,CID 874914159776 appears in Contact History Report with talk time but there is no associated recording. Customer expects 100% recording on this queue. No archive entry found.,Get file returns no media for the segment. Checked both active and archive storage - nothing present.,Ravi Teja reviewed recorder logs for the timestamp - no recording trigger received for this contact. Possible recording rule / business unit mapping gap.,Priya Nair confirmed the recording control did not start; the call matched a queue not included in the recording profile.,Recording profile did not cover the queue. Profile updated; customer informed prior interactions cannot be recovered.
47,Recordings not appearing in Search & Replay despite existing.,Recordings such as CID 773771213119 are missing from Search & Replay results but are reachable via direct Contact History link.,Media and Contact History entries exist; the search index has no entry for these CIDs.,Daniel Cohen found the indexing job skipped a window due to a transient error and did not retry.,Tomas Novak re-indexed the affected time range; recordings now searchable.,Search indexing gap from a transient failure. Affected window re-indexed; retry logic flagged for hardening.
48,Bulk recording export / download fails or produces empty files.,Customer's scheduled export including CID 620622987162 completes with 0-byte files for a subset of interactions. Others in the same job are fine.,Checked the export job - 27 of the segments failed to package. The failed ones are all screen recordings.,Daniel Cohen found the export packager timed out on large screen files exceeding the size threshold.,Arjun Mehta re-ran the export with the failed segments split into smaller batches; files packaged correctly.,Export packager timed out on oversized screen files. Batch size reduced; defect logged to raise the packager timeout.
49,Voice and screen are out of sync on playback.,"For CID 492324528203, screen lags audio by ~20 seconds and the drift increases toward the end of the recording. Reported by the QM team reviewing evaluations.",Both voice and screen files are present and complete in storage; the merge timing appears off during stitching.,Marco Rossi notes the screen recording required a timing fix during the merge of the video segments - similar to prior known cases.,Arjun Mehta confirmed clock drift between the screen agent and recorder caused the offset; applied the timing correction at stitch.,Clock drift on the screen agent caused A/V offset. Timing fix applied; agent time sync (NTP) corrected on the workstation.
50,Recording is truncated - playback far shorter than the actual call duration.,Contact History shows CID 432951703327 talk time of 42 minutes but the recording is only 8 minutes long.,File in storage matches the short duration; the rest of the call was not captured.,"Saranya Rao found the recorder lost the media stream mid-call (RTP gap), so capture stopped while the call continued.",Vinayak Bhati confirmed an RTP timeout on the recorder during a network blip; the remainder was never received.,RTP stream loss mid-call truncated the recording. Network event confirmed; recorder timeout settings reviewed.
51,Recordings deleted earlier than expected retention period.,"Customer reports recordings from 06/15/2026 (including CID 218474116327) are gone, but their retention policy is 730 days. Concerned about premature deletion.",Checked deletion logs - records were purged by the retention job. Verifying which retention value was applied.,Daniel Cohen found two retention policies applied to the business unit; the shorter one took precedence due to ordering.,Tomas Novak confirmed the policy conflict. Corrected ordering so the longer retention applies going forward; deleted media is not recoverable.,Conflicting retention policies caused early purge. Policy ordering fixed; customer informed deleted recordings cannot be restored.
52,Recordings stuck in 'Processing' / 'Pending Upload' and never become playable.,A batch of recordings including CID 592540579554 has been in Pending Upload state for over 39 hours. Customer cannot play or export them.,Confirmed upload queue backlog on EU1. Files exist on the recorder but have not transferred to File Storage.,Richard Palmer found the upload worker had stalled due to a credential/token expiry. Restarted the service.,Kevin Park confirmed the backlog is draining; affected CIDs becoming playable.,"Upload service token expiry caused the stall. Service restarted, backlog cleared, monitoring added on upload lag."
53,Recording is fine in storage; voice and screen appear to be just over 10 minutes long but playback stops early.,"We have analyzed the media and found the uploaded media has corrupt packets, so playback stops at 2:25. Analyzed via ffmpeg. Segment 13109394-7a2f-92cd-8fff-20a6802fb1ad on EU2, recorded 05/23/2026. Need to confirm whether the corruption is internal to NICE or originated on the customer side.","The corruption is on the audio media uploaded to File Storage. Customer reports they can play the full recording outside CXone by downloading it, and asks why the issue would not persist outside the player.","In CXone Player, playback uses an HTML video element to decode the stream. When the file has corrupt or incomplete packets the decode is disrupted and playback stops. Laura Bianchi ran ffmpeg -i <input> -f null - on the audio-only file from File Storage and confirmed the corrupt packets.","Due to strict playback SLAs and on-the-fly stream switching, re-encoding or correction at the playback stage is not feasible - this must be addressed at the recording stage. Yael Levi confirmed the recorder logs showed zero issues at capture, so cause is unclear.",Cannot reproduce in lab; corrupt packets confirmed at File Storage. Customer advised to download and use an external player. Swarm closed.
54,Screen recording plays back as a black/blank screen while the voice portion plays normally.,Customer reports the agent screen recording for CID 269587136976 shows only a black frame on playback. Voice audio is intact. Observed on multiple interactions for the same agent workstation.,"Checked the segment in File Storage - voice file present and playable, screen file size is abnormally small (26 KB).",Megan O'Brien suspects the Screen Agent did not capture frames - likely a display driver or multi-monitor scaling issue on the agent machine.,Marco Rossi confirmed the screen recorder uploaded an almost-empty stream. Recommend updating the Screen Agent and verifying GPU/driver on the affected workstation.,Root cause traced to outdated Screen Agent on the workstation. Agent reinstalled; subsequent recordings captured correctly.
55,"Recording for a single CID is returning ""Playback Unavailable - Error 8101"" across multiple applications. The recording shows as available in active storage but cannot be played back.","Single CID affected - no other recordings reported with this issue. Active storage - CXone Player confirms the recording is present, not archived or deleted. All users affected including impersonated admin with full Administrator permissions, which rules out a permissions issue. Error occurs in both CXone Player and Interactions Hub. Error: Playback Unavailable - Error 8101. CID 161530549239.","Reproduced from Interactions Hub. Get file shows the recording is in Storage, Active Playable, and complete. File name: 2026-01-31-06-39-53_161530549239_VOICE_df1770c1-f83e-c424-e727-8c2e70191e84.mp4. Same error in CXone Player. Routing to Mpower Recording.",Updating the BPO admin. Ravi Teja please review. Will analyse and update by tomorrow.,"There are two recordings in this segment: one is in failed status and the other is a statement recording, which is not playable in the player as per design. Arjun Mehta checked from the recording side - the first recording is showing a failed status.",'Failed' recording is actually a 'Short' recording which was not captured. KI shared with customer.
56,Recording playback is extremely slow / constantly buffering.,Playback for CID 433002454647 and others buffers every few seconds for users in the APAC region. Download works fine.,Storage and file integrity confirmed good. Issue appears network/CDN related rather than media.,"Ravi Teja ran a HAR capture - segment requests are taking 6s each, suggesting a CDN edge or routing issue for that region.",Marco Rossi confirmed with the platform team that one CDN edge node was unhealthy and pulled it from rotation.,Unhealthy CDN edge node caused buffering. Node removed from rotation; playback latency back to normal.
57,On-demand recording does not start when the agent triggers it.,Agents using on-demand recording report that pressing record has no effect for some calls (e.g. CID 800033829698); no recording is produced.,Reproduced - the on-demand toggle sends the request but no recording control session is created for certain skills.,"Cfir Moshe found those skills were set to 'Do Not Record' at profile level, which overrides the on-demand request.",Megan O'Brien confirmed the profile precedence; recommend setting the skills to on-demand-eligible.,Profile 'Do Not Record' overrode on-demand. Skills reconfigured to allow on-demand; validated.
58,Voice and screen are out of sync on playback.,"For CID 968669541691, screen lags audio by ~12 seconds and the drift increases toward the end of the recording. Reported by the QM team reviewing evaluations.",Both voice and screen files are present and complete in storage; the merge timing appears off during stitching.,Hiroshi Tanaka notes the screen recording required a timing fix during the merge of the video segments - similar to prior known cases.,Tomas Novak confirmed clock drift between the screen agent and recorder caused the offset; applied the timing correction at stitch.,Clock drift on the screen agent caused A/V offset. Timing fix applied; agent time sync (NTP) corrected on the workstation.
59,Playing one interaction returns the audio of a different interaction.,Agent opened CID 695165169986 but the audio played belongs to CID 402637962340 (different customer). Potential data-privacy concern; escalated.,Confirmed the metadata for 695165169986 points to the media file of 402637962340. Looks like a segment association error.,Marco Rossi traced a mismatched segment ID written during stitching for a transferred/conferenced call.,Hiroshi Tanaka confirmed the association bug occurs on specific transfer scenarios; corrected the affected records.,Segment association error on transferred calls mapped wrong media. Records corrected; defect logged to recording stitching.
60,PCI pause/resume not masking - sensitive audio audible in recording.,"During payment capture on CID 359169025123, the recording should pause but the card details are audible on playback. Compliance-impacting; customer escalated.",Reviewed the recording - pause event present in metadata but audio continued. API pause command timing under review.,"Daniel Cohen found the pause API call was acknowledged ~2s late, so a window of audio was captured before masking took effect.",Arjun Mehta confirmed an integration delay between the agent app and recording control. Recommend stop-record (not pause) for PCI segments.,Pause latency confirmed. Customer moved to full stop-record for payment steps; defect logged for pause acknowledgment timing.
61,Recordings not appearing in Search & Replay despite existing.,Recordings such as CID 411127088970 are missing from Search & Replay results but are reachable via direct Contact History link.,Media and Contact History entries exist; the search index has no entry for these CIDs.,Saranya Rao found the indexing job skipped a window due to a transient error and did not retry.,Anita Desai re-indexed the affected time range; recordings now searchable.,Search indexing gap from a transient failure. Affected window re-indexed; retry logic flagged for hardening.
62,Screen recording plays back as a black/blank screen while the voice portion plays normally.,Customer reports the agent screen recording for CID 587217033853 shows only a black frame on playback. Voice audio is intact. Observed on multiple interactions for the same agent workstation.,"Checked the segment in File Storage - voice file present and playable, screen file size is abnormally small (7 KB).",Daniel Cohen suspects the Screen Agent did not capture frames - likely a display driver or multi-monitor scaling issue on the agent machine.,James Whitaker confirmed the screen recorder uploaded an almost-empty stream. Recommend updating the Screen Agent and verifying GPU/driver on the affected workstation.,Root cause traced to outdated Screen Agent on the workstation. Agent reinstalled; subsequent recordings captured correctly.
63,Recording plays but has no audio on one or both channels.,Playback for CID 923819376248 runs the full duration with no audible audio. Waveform shows flat line on the agent channel. Reported across 7 interactions.,"Storage shows the file as Active, complete. Downloaded file confirms one silent channel.","Hiroshi Tanaka checked SIPREC/RTP capture - one media leg appears not to have reached the recorder, pointing to a telephony/SBC config issue.",Kevin Park verified the recorder received only a single RTP stream for these calls. Handing to the voice/telephony team for SBC review.,Confirmed missing media leg at the SBC. Routed to telephony team; config corrected and validated on test calls.
64,Recording exists but transcription / analytics did not generate.,CID 567081272173 has a playable recording but no transcript appears in Interaction Analytics. Affecting 56 interactions on one queue.,Confirmed media is present and playable. Transcription job shows no submission for these CIDs.,"Sandeep Kulkarni found the analytics profile was not enabled for the affected skill, so recordings were not queued for transcription.",Olga Petrova enabled the profile and reprocessed a sample - transcripts now generating.,Analytics profile not enabled for the skill. Enabled and reprocessed; historical reprocessing scheduled.
65,Recordings stuck in 'Processing' / 'Pending Upload' and never become playable.,A batch of recordings including CID 964459203610 has been in Pending Upload state for over 16 hours. Customer cannot play or export them.,Confirmed upload queue backlog on NA2. Files exist on the recorder but have not transferred to File Storage.,Richard Palmer found the upload worker had stalled due to a credential/token expiry. Restarted the service.,Daniel Cohen confirmed the backlog is draining; affected CIDs becoming playable.,"Upload service token expiry caused the stall. Service restarted, backlog cleared, monitoring added on upload lag."
66,Encrypted recordings fail to play with a decryption error.,"Customer using recording encryption reports playback fails for CID 988341194876 with a key/decrypt error, while older recordings play fine.",Confirmed the media is present; failure is at the decrypt step in the player.,Arjun Mehta found a recent key rotation - newer recordings reference a key version the playback service had not picked up.,James Whitaker refreshed the key cache on the playback service; affected recordings now decrypt and play.,"Key rotation not propagated to playback service. Key cache refreshed; playback restored, monitoring added on rotation."
67,Interaction exists in Contact History but the recording is missing entirely.,CID 642818236704 appears in Contact History Report with talk time but there is no associated recording. Customer expects 100% recording on this queue. No archive entry found.,Get file returns no media for the segment. Checked both active and archive storage - nothing present.,Saranya Rao reviewed recorder logs for the timestamp - no recording trigger received for this contact. Possible recording rule / business unit mapping gap.,Marco Rossi confirmed the recording control did not start; the call matched a queue not included in the recording profile.,Recording profile did not cover the queue. Profile updated; customer informed prior interactions cannot be recovered.
68,Supervisors cannot play recordings they should have access to.,A group of supervisors get 'You do not have permission' when opening recordings (e.g. CID 578202206108) for agents in their team.,"Confirmed the recordings play fine for an admin, so media is healthy - this is a permissions/scope issue.",Anita Desai checked the supervisors' view/role - the team view does not include the agents' current business unit after a recent reorg.,Saranya Rao updated the view scope to include the moved agents; playback now works for the supervisors.,View scope did not cover reorganized agents. Scope updated; supervisors can now access the recordings.
69,Recording is truncated - playback far shorter than the actual call duration.,Contact History shows CID 645584509670 talk time of 25 minutes but the recording is only 3 minutes long.,File in storage matches the short duration; the rest of the call was not captured.,"Hiroshi Tanaka found the recorder lost the media stream mid-call (RTP gap), so capture stopped while the call continued.",Saranya Rao confirmed an RTP timeout on the recorder during a network blip; the remainder was never received.,RTP stream loss mid-call truncated the recording. Network event confirmed; recorder timeout settings reviewed.
70,Bulk recording export / download fails or produces empty files.,Customer's scheduled export including CID 672054700040 completes with 0-byte files for a subset of interactions. Others in the same job are fine.,Checked the export job - 3 of the segments failed to package. The failed ones are all screen recordings.,Hiroshi Tanaka found the export packager timed out on large screen files exceeding the size threshold.,Olga Petrova re-ran the export with the failed segments split into smaller batches; files packaged correctly.,Export packager timed out on oversized screen files. Batch size reduced; defect logged to raise the packager timeout.
71,Recording is fine in storage; voice and screen appear to be just over 10 minutes long but playback stops early.,"We have analyzed the media and found the uploaded media has corrupt packets, so playback stops at 7:15. Analyzed via ffmpeg. Segment 43b40199-c328-14fa-eb03-766886082816 on NA2, recorded 06/02/2026. Need to confirm whether the corruption is internal to NICE or originated on the customer side.","The corruption is on the audio media uploaded to File Storage. Customer reports they can play the full recording outside CXone by downloading it, and asks why the issue would not persist outside the player.","In CXone Player, playback uses an HTML video element to decode the stream. When the file has corrupt or incomplete packets the decode is disrupted and playback stops. Daniel Cohen ran ffmpeg -i <input> -f null - on the audio-only file from File Storage and confirmed the corrupt packets.","Due to strict playback SLAs and on-the-fly stream switching, re-encoding or correction at the playback stage is not feasible - this must be addressed at the recording stage. Marco Rossi confirmed the recorder logs showed zero issues at capture, so cause is unclear.",Cannot reproduce in lab; corrupt packets confirmed at File Storage. Customer advised to download and use an external player. Swarm closed.
72,Archived recording fails to retrieve / rehydrate for playback.,"Customer attempted to play an archived recording (CID 124965102443, 03/19/2026) and it does not return after the expected rehydration window.",Confirmed the recording is in cold/archive storage. Retrieval request submitted but the object did not return to active.,James Whitaker checked the archive job - the retrieval request errored on a lifecycle policy mismatch.,Vinayak Bhati re-submitted the rehydration with corrected parameters; recording now retrievable.,Archive lifecycle policy mismatch blocked retrieval. Re-submitted successfully; recording playable after rehydration.
73,Recordings deleted earlier than expected retention period.,"Customer reports recordings from 01/27/2026 (including CID 109654522846) are gone, but their retention policy is 90 days. Concerned about premature deletion.",Checked deletion logs - records were purged by the retention job. Verifying which retention value was applied.,Wei Chen found two retention policies applied to the business unit; the shorter one took precedence due to ordering.,Anita Desai confirmed the policy conflict. Corrected ordering so the longer retention applies going forward; deleted media is not recoverable.,Conflicting retention policies caused early purge. Policy ordering fixed; customer informed deleted recordings cannot be restored.
74,On-demand recording does not start when the agent triggers it.,Agents using on-demand recording report that pressing record has no effect for some calls (e.g. CID 145474793857); no recording is produced.,Reproduced - the on-demand toggle sends the request but no recording control session is created for certain skills.,"Kevin Park found those skills were set to 'Do Not Record' at profile level, which overrides the on-demand request.",Tomas Novak confirmed the profile precedence; recommend setting the skills to on-demand-eligible.,Profile 'Do Not Record' overrode on-demand. Skills reconfigured to allow on-demand; validated.
75,Encrypted recordings fail to play with a decryption error.,"Customer using recording encryption reports playback fails for CID 913758828017 with a key/decrypt error, while older recordings play fine.",Confirmed the media is present; failure is at the decrypt step in the player.,Priya Nair found a recent key rotation - newer recordings reference a key version the playback service had not picked up.,Olga Petrova refreshed the key cache on the playback service; affected recordings now decrypt and play.,"Key rotation not propagated to playback service. Key cache refreshed; playback restored, monitoring added on rotation."
76,PCI pause/resume not masking - sensitive audio audible in recording.,"During payment capture on CID 244952626174, the recording should pause but the card details are audible on playback. Compliance-impacting; customer escalated.",Reviewed the recording - pause event present in metadata but audio continued. API pause command timing under review.,"Cfir Moshe found the pause API call was acknowledged ~5s late, so a window of audio was captured before masking took effect.",Vinayak Bhati confirmed an integration delay between the agent app and recording control. Recommend stop-record (not pause) for PCI segments.,Pause latency confirmed. Customer moved to full stop-record for payment steps; defect logged for pause acknowledgment timing.
77,Playing one interaction returns the audio of a different interaction.,Agent opened CID 116636398482 but the audio played belongs to CID 133169867532 (different customer). Potential data-privacy concern; escalated.,Confirmed the metadata for 116636398482 points to the media file of 133169867532. Looks like a segment association error.,Cfir Moshe traced a mismatched segment ID written during stitching for a transferred/conferenced call.,Ravi Teja confirmed the association bug occurs on specific transfer scenarios; corrected the affected records.,Segment association error on transferred calls mapped wrong media. Records corrected; defect logged to recording stitching.
78,Recording plays but has no audio on one or both channels.,Playback for CID 661914111197 runs the full duration with no audible audio. Waveform shows flat line on the customer channel. Reported across 6 interactions.,Storage shows the file as Archived. Downloaded file confirms one silent channel.,"Anita Desai checked SIPREC/RTP capture - one media leg appears not to have reached the recorder, pointing to a telephony/SBC config issue.",Richard Palmer verified the recorder received only a single RTP stream for these calls. Handing to the voice/telephony team for SBC review.,Confirmed missing media leg at the SBC. Routed to telephony team; config corrected and validated on test calls.
