Issue No.,Issue Summary,Issue Description,Comment 1,Comment 2,Comment 3,Final Outcome
79,Interaction exists in Contact History but the recording is missing entirely.,CID 941215812753 appears in Contact History Report with talk time but there is no associated recording. Customer expects 100% recording on this queue. No archive entry found.,Get file returns no media for the segment. Checked both active and archive storage - nothing present.,Laura Bianchi reviewed recorder logs for the timestamp - no recording trigger received for this contact. Possible recording rule / business unit mapping gap.,Daniel Cohen confirmed the recording control did not start; the call matched a queue not included in the recording profile.,Recording profile did not cover the queue. Profile updated; customer informed prior interactions cannot be recovered.
80,Bulk recording export / download fails or produces empty files.,Customer's scheduled export including CID 866249170530 completes with 0-byte files for a subset of interactions. Others in the same job are fine.,Checked the export job - 36 of the segments failed to package. The failed ones are all screen recordings.,Sandeep Kulkarni found the export packager timed out on large screen files exceeding the size threshold.,Richard Palmer re-ran the export with the failed segments split into smaller batches; files packaged correctly.,Export packager timed out on oversized screen files. Batch size reduced; defect logged to raise the packager timeout.
81,Archived recording fails to retrieve / rehydrate for playback.,"Customer attempted to play an archived recording (CID 589714628675, 03/26/2026) and it does not return after the expected rehydration window.",Confirmed the recording is in cold/archive storage. Retrieval request submitted but the object did not return to active.,Vinayak Bhati checked the archive job - the retrieval request errored on a lifecycle policy mismatch.,James Whitaker re-submitted the rehydration with corrected parameters; recording now retrievable.,Archive lifecycle policy mismatch blocked retrieval. Re-submitted successfully; recording playable after rehydration.
82,Recording playback is extremely slow / constantly buffering.,Playback for CID 770303324567 and others buffers every few seconds for users in the US East region. Download works fine.,Storage and file integrity confirmed good. Issue appears network/CDN related rather than media.,"Anita Desai ran a HAR capture - segment requests are taking 11s each, suggesting a CDN edge or routing issue for that region.",Yael Levi confirmed with the platform team that one CDN edge node was unhealthy and pulled it from rotation.,Unhealthy CDN edge node caused buffering. Node removed from rotation; playback latency back to normal.
83,Recordings not appearing in Search & Replay despite existing.,Recordings such as CID 111362268186 are missing from Search & Replay results but are reachable via direct Contact History link.,Media and Contact History entries exist; the search index has no entry for these CIDs.,Ravi Teja found the indexing job skipped a window due to a transient error and did not retry.,Hiroshi Tanaka re-indexed the affected time range; recordings now searchable.,Search indexing gap from a transient failure. Affected window re-indexed; retry logic flagged for hardening.
84,Voice and screen are out of sync on playback.,"For CID 630781295394, screen lags audio by ~25 seconds and the drift increases toward the end of the recording. Reported by the QM team reviewing evaluations.",Both voice and screen files are present and complete in storage; the merge timing appears off during stitching.,Priya Nair notes the screen recording required a timing fix during the merge of the video segments - similar to prior known cases.,James Whitaker confirmed clock drift between the screen agent and recorder caused the offset; applied the timing correction at stitch.,Clock drift on the screen agent caused A/V offset. Timing fix applied; agent time sync (NTP) corrected on the workstation.
85,"Recording for a single CID is returning ""Playback Unavailable - Error 9002"" across multiple applications. The recording shows as available in active storage but cannot be played back.","Single CID affected - no other recordings reported with this issue. Active storage - Contact History Report confirms the recording is present, not archived or deleted. All users affected including impersonated admin with full Administrator permissions, which rules out a permissions issue. Error occurs in both Contact History Report and Search & Replay. Error: Playback Unavailable - Error 9002. CID 544293739010.","Reproduced from Search & Replay. Get file shows the recording is in Storage, Active Playable, and complete. File name: 2026-04-19-02-26-53_544293739010_VOICE_3e709390-4591-4411-73f6-10165f00118b.mp4. Same error in Contact History Report. Routing to Mpower Recording.",Updating David Mensah. Saranya Rao please review. Will analyse and update by tomorrow.,"There are two recordings in this segment: one is in failed status and the other is a statement recording, which is not playable in the player as per design. Vinayak Bhati checked from the recording side - the first recording is showing a failed status.",'Failed' recording is actually a 'Short' recording which was not captured. KI shared with customer.
86,Recording is truncated - playback far shorter than the actual call duration.,Contact History shows CID 156972862384 talk time of 39 minutes but the recording is only 7 minutes long.,File in storage matches the short duration; the rest of the call was not captured.,"Laura Bianchi found the recorder lost the media stream mid-call (RTP gap), so capture stopped while the call continued.",Kevin Park confirmed an RTP timeout on the recorder during a network blip; the remainder was never received.,RTP stream loss mid-call truncated the recording. Network event confirmed; recorder timeout settings reviewed.
87,Recordings stuck in 'Processing' / 'Pending Upload' and never become playable.,A batch of recordings including CID 884821827933 has been in Pending Upload state for over 30 hours. Customer cannot play or export them.,Confirmed upload queue backlog on UK1. Files exist on the recorder but have not transferred to File Storage.,Marco Rossi found the upload worker had stalled due to a credential/token expiry. Restarted the service.,Saranya Rao confirmed the backlog is draining; affected CIDs becoming playable.,"Upload service token expiry caused the stall. Service restarted, backlog cleared, monitoring added on upload lag."
88,Recording exists but transcription / analytics did not generate.,CID 728422171294 has a playable recording but no transcript appears in Interaction Analytics. Affecting 67 interactions on one queue.,Confirmed media is present and playable. Transcription job shows no submission for these CIDs.,"Marco Rossi found the analytics profile was not enabled for the affected skill, so recordings were not queued for transcription.",Cfir Moshe enabled the profile and reprocessed a sample - transcripts now generating.,Analytics profile not enabled for the skill. Enabled and reprocessed; historical reprocessing scheduled.
89,Supervisors cannot play recordings they should have access to.,A group of supervisors get 'You do not have permission' when opening recordings (e.g. CID 885544256359) for agents in their team.,"Confirmed the recordings play fine for an admin, so media is healthy - this is a permissions/scope issue.",Laura Bianchi checked the supervisors' view/role - the team view does not include the agents' current business unit after a recent reorg.,Vinayak Bhati updated the view scope to include the moved agents; playback now works for the supervisors.,View scope did not cover reorganized agents. Scope updated; supervisors can now access the recordings.
90,Screen recording plays back as a black/blank screen while the voice portion plays normally.,Customer reports the agent screen recording for CID 914832318244 shows only a black frame on playback. Voice audio is intact. Observed on multiple interactions for the same agent workstation.,"Checked the segment in File Storage - voice file present and playable, screen file size is abnormally small (24 KB).",Megan O'Brien suspects the Screen Agent did not capture frames - likely a display driver or multi-monitor scaling issue on the agent machine.,Richard Palmer confirmed the screen recorder uploaded an almost-empty stream. Recommend updating the Screen Agent and verifying GPU/driver on the affected workstation.,Root cause traced to outdated Screen Agent on the workstation. Agent reinstalled; subsequent recordings captured correctly.
91,Recording is fine in storage; voice and screen appear to be just over 13 minutes long but playback stops early.,"We have analyzed the media and found the uploaded media has corrupt packets, so playback stops at 3:28. Analyzed via ffmpeg. Segment 0dd7363e-4738-a6cf-fd0f-a446b35482d4 on EU1, recorded 02/24/2026. Need to confirm whether the corruption is internal to NICE or originated on the customer side.","The corruption is on the audio media uploaded to File Storage. Customer reports they can play the full recording outside CXone by downloading it, and asks why the issue would not persist outside the player.","In CXone Player, playback uses an HTML video element to decode the stream. When the file has corrupt or incomplete packets the decode is disrupted and playback stops. Wei Chen ran ffmpeg -i <input> -f null - on the audio-only file from File Storage and confirmed the corrupt packets.","Due to strict playback SLAs and on-the-fly stream switching, re-encoding or correction at the playback stage is not feasible - this must be addressed at the recording stage. Saranya Rao confirmed the recorder logs showed zero issues at capture, so cause is unclear.",Cannot reproduce in lab; corrupt packets confirmed at File Storage. Customer advised to download and use an external player. Swarm closed.
92,Recordings deleted earlier than expected retention period.,"Customer reports recordings from 01/07/2026 (including CID 398485765075) are gone, but their retention policy is 365 days. Concerned about premature deletion.",Checked deletion logs - records were purged by the retention job. Verifying which retention value was applied.,James Whitaker found two retention policies applied to the business unit; the shorter one took precedence due to ordering.,Sandeep Kulkarni confirmed the policy conflict. Corrected ordering so the longer retention applies going forward; deleted media is not recoverable.,Conflicting retention policies caused early purge. Policy ordering fixed; customer informed deleted recordings cannot be restored.
93,On-demand recording does not start when the agent triggers it.,Agents using on-demand recording report that pressing record has no effect for some calls (e.g. CID 171198904572); no recording is produced.,Reproduced - the on-demand toggle sends the request but no recording control session is created for certain skills.,"Ravi Teja found those skills were set to 'Do Not Record' at profile level, which overrides the on-demand request.",Cfir Moshe confirmed the profile precedence; recommend setting the skills to on-demand-eligible.,Profile 'Do Not Record' overrode on-demand. Skills reconfigured to allow on-demand; validated.
94,Recordings deleted earlier than expected retention period.,"Customer reports recordings from 04/05/2026 (including CID 924237387951) are gone, but their retention policy is 180 days. Concerned about premature deletion.",Checked deletion logs - records were purged by the retention job. Verifying which retention value was applied.,Hiroshi Tanaka found two retention policies applied to the business unit; the shorter one took precedence due to ordering.,Arjun Mehta confirmed the policy conflict. Corrected ordering so the longer retention applies going forward; deleted media is not recoverable.,Conflicting retention policies caused early purge. Policy ordering fixed; customer informed deleted recordings cannot be restored.
95,Recording is fine in storage; voice and screen appear to be just over 10 minutes long but playback stops early.,"We have analyzed the media and found the uploaded media has corrupt packets, so playback stops at 7:54. Analyzed via ffmpeg. Segment 2b7bb3ba-e847-2383-b40c-d87c5cbbc403 on AU1, recorded 03/12/2026. Need to confirm whether the corruption is internal to NICE or originated on the customer side.","The corruption is on the audio media uploaded to File Storage. Customer reports they can play the full recording outside CXone by downloading it, and asks why the issue would not persist outside the player.","In CXone Player, playback uses an HTML video element to decode the stream. When the file has corrupt or incomplete packets the decode is disrupted and playback stops. Richard Palmer ran ffmpeg -i <input> -f null - on the audio-only file from File Storage and confirmed the corrupt packets.","Due to strict playback SLAs and on-the-fly stream switching, re-encoding or correction at the playback stage is not feasible - this must be addressed at the recording stage. Arjun Mehta confirmed the recorder logs showed zero issues at capture, so cause is unclear.",Cannot reproduce in lab; corrupt packets confirmed at File Storage. Customer advised to download and use an external player. Swarm closed.
96,Bulk recording export / download fails or produces empty files.,Customer's scheduled export including CID 396414776157 completes with 0-byte files for a subset of interactions. Others in the same job are fine.,Checked the export job - 37 of the segments failed to package. The failed ones are all screen recordings.,Marco Rossi found the export packager timed out on large screen files exceeding the size threshold.,Megan O'Brien re-ran the export with the failed segments split into smaller batches; files packaged correctly.,Export packager timed out on oversized screen files. Batch size reduced; defect logged to raise the packager timeout.
97,Supervisors cannot play recordings they should have access to.,A group of supervisors get 'You do not have permission' when opening recordings (e.g. CID 702486184163) for agents in their team.,"Confirmed the recordings play fine for an admin, so media is healthy - this is a permissions/scope issue.",Yael Levi checked the supervisors' view/role - the team view does not include the agents' current business unit after a recent reorg.,Tomas Novak updated the view scope to include the moved agents; playback now works for the supervisors.,View scope did not cover reorganized agents. Scope updated; supervisors can now access the recordings.
98,Encrypted recordings fail to play with a decryption error.,"Customer using recording encryption reports playback fails for CID 625455447274 with a key/decrypt error, while older recordings play fine.",Confirmed the media is present; failure is at the decrypt step in the player.,Daniel Cohen found a recent key rotation - newer recordings reference a key version the playback service had not picked up.,Megan O'Brien refreshed the key cache on the playback service; affected recordings now decrypt and play.,"Key rotation not propagated to playback service. Key cache refreshed; playback restored, monitoring added on rotation."
99,Recording playback is extremely slow / constantly buffering.,Playback for CID 164679986142 and others buffers every few seconds for users in the US East region. Download works fine.,Storage and file integrity confirmed good. Issue appears network/CDN related rather than media.,"Marco Rossi ran a HAR capture - segment requests are taking 7s each, suggesting a CDN edge or routing issue for that region.",Megan O'Brien confirmed with the platform team that one CDN edge node was unhealthy and pulled it from rotation.,Unhealthy CDN edge node caused buffering. Node removed from rotation; playback latency back to normal.
100,Recording plays but has no audio on one or both channels.,Playback for CID 670610743954 runs the full duration with no audible audio. Waveform shows flat line on the customer channel. Reported across 2 interactions.,"Storage shows the file as Active, complete. Downloaded file confirms one silent channel.","Arjun Mehta checked SIPREC/RTP capture - one media leg appears not to have reached the recorder, pointing to a telephony/SBC config issue.",Cfir Moshe verified the recorder received only a single RTP stream for these calls. Handing to the voice/telephony team for SBC review.,Confirmed missing media leg at the SBC. Routed to telephony team; config corrected and validated on test calls.
101,Recording is truncated - playback far shorter than the actual call duration.,Contact History shows CID 330704130418 talk time of 40 minutes but the recording is only 6 minutes long.,File in storage matches the short duration; the rest of the call was not captured.,"Tomas Novak found the recorder lost the media stream mid-call (RTP gap), so capture stopped while the call continued.",Kevin Park confirmed an RTP timeout on the recorder during a network blip; the remainder was never received.,RTP stream loss mid-call truncated the recording. Network event confirmed; recorder timeout settings reviewed.
102,Archived recording fails to retrieve / rehydrate for playback.,"Customer attempted to play an archived recording (CID 883861302241, 06/02/2026) and it does not return after the expected rehydration window.",Confirmed the recording is in cold/archive storage. Retrieval request submitted but the object did not return to active.,Priya Nair checked the archive job - the retrieval request errored on a lifecycle policy mismatch.,Cfir Moshe re-submitted the rehydration with corrected parameters; recording now retrievable.,Archive lifecycle policy mismatch blocked retrieval. Re-submitted successfully; recording playable after rehydration.
103,Voice and screen are out of sync on playback.,"For CID 686154186646, screen lags audio by ~11 seconds and the drift increases toward the end of the recording. Reported by the QM team reviewing evaluations.",Both voice and screen files are present and complete in storage; the merge timing appears off during stitching.,Daniel Cohen notes the screen recording required a timing fix during the merge of the video segments - similar to prior known cases.,Hiroshi Tanaka confirmed clock drift between the screen agent and recorder caused the offset; applied the timing correction at stitch.,Clock drift on the screen agent caused A/V offset. Timing fix applied; agent time sync (NTP) corrected on the workstation.
104,Screen recording plays back as a black/blank screen while the voice portion plays normally.,Customer reports the agent screen recording for CID 876009115266 shows only a black frame on playback. Voice audio is intact. Observed on multiple interactions for the same agent workstation.,"Checked the segment in File Storage - voice file present and playable, screen file size is abnormally small (6 KB).",Arjun Mehta suspects the Screen Agent did not capture frames - likely a display driver or multi-monitor scaling issue on the agent machine.,Cfir Moshe confirmed the screen recorder uploaded an almost-empty stream. Recommend updating the Screen Agent and verifying GPU/driver on the affected workstation.,Root cause traced to outdated Screen Agent on the workstation. Agent reinstalled; subsequent recordings captured correctly.
105,Recording exists but transcription / analytics did not generate.,CID 411390566852 has a playable recording but no transcript appears in Interaction Analytics. Affecting 5 interactions on one queue.,Confirmed media is present and playable. Transcription job shows no submission for these CIDs.,"Laura Bianchi found the analytics profile was not enabled for the affected skill, so recordings were not queued for transcription.",Tomas Novak enabled the profile and reprocessed a sample - transcripts now generating.,Analytics profile not enabled for the skill. Enabled and reprocessed; historical reprocessing scheduled.
106,Playing one interaction returns the audio of a different interaction.,Agent opened CID 543065271573 but the audio played belongs to CID 675413794820 (different customer). Potential data-privacy concern; escalated.,Confirmed the metadata for 543065271573 points to the media file of 675413794820. Looks like a segment association error.,Kevin Park traced a mismatched segment ID written during stitching for a transferred/conferenced call.,Olga Petrova confirmed the association bug occurs on specific transfer scenarios; corrected the affected records.,Segment association error on transferred calls mapped wrong media. Records corrected; defect logged to recording stitching.
107,PCI pause/resume not masking - sensitive audio audible in recording.,"During payment capture on CID 794885525445, the recording should pause but the card details are audible on playback. Compliance-impacting; customer escalated.",Reviewed the recording - pause event present in metadata but audio continued. API pause command timing under review.,"Sandeep Kulkarni found the pause API call was acknowledged ~2s late, so a window of audio was captured before masking took effect.",Olga Petrova confirmed an integration delay between the agent app and recording control. Recommend stop-record (not pause) for PCI segments.,Pause latency confirmed. Customer moved to full stop-record for payment steps; defect logged for pause acknowledgment timing.
108,Interaction exists in Contact History but the recording is missing entirely.,CID 508198844012 appears in Contact History Report with talk time but there is no associated recording. Customer expects 100% recording on this queue. No archive entry found.,Get file returns no media for the segment. Checked both active and archive storage - nothing present.,Laura Bianchi reviewed recorder logs for the timestamp - no recording trigger received for this contact. Possible recording rule / business unit mapping gap.,Saranya Rao confirmed the recording control did not start; the call matched a queue not included in the recording profile.,Recording profile did not cover the queue. Profile updated; customer informed prior interactions cannot be recovered.
109,"Recording for a single CID is returning ""Playback Unavailable - Error 8203"" across multiple applications. The recording shows as available in active storage but cannot be played back.","Single CID affected - no other recordings reported with this issue. Active storage - MAX Agent confirms the recording is present, not archived or deleted. All users affected including impersonated admin with full Administrator permissions, which rules out a permissions issue. Error occurs in both MAX Agent and CXone Player. Error: Playback Unavailable - Error 8203. CID 661849622183.","Reproduced from CXone Player. Get file shows the recording is in Storage, Active Playable, and complete. File name: 2026-04-27-14-07-59_661849622183_VOICE_518c5df1-2899-255b-2397-dbd7ed82cd90.mp4. Same error in MAX Agent. Routing to Mpower Recording.",Updating David Mensah. James Whitaker please review. Will analyse and update by tomorrow.,"There are two recordings in this segment: one is in failed status and the other is a statement recording, which is not playable in the player as per design. Wei Chen checked from the recording side - the first recording is showing a failed status.",'Failed' recording is actually a 'Short' recording which was not captured. KI shared with customer.
110,Recordings not appearing in Search & Replay despite existing.,Recordings such as CID 473441025172 are missing from Search & Replay results but are reachable via direct Contact History link.,Media and Contact History entries exist; the search index has no entry for these CIDs.,Richard Palmer found the indexing job skipped a window due to a transient error and did not retry.,Olga Petrova re-indexed the affected time range; recordings now searchable.,Search indexing gap from a transient failure. Affected window re-indexed; retry logic flagged for hardening.
111,Recordings stuck in 'Processing' / 'Pending Upload' and never become playable.,A batch of recordings including CID 830439573750 has been in Pending Upload state for over 44 hours. Customer cannot play or export them.,Confirmed upload queue backlog on EU2. Files exist on the recorder but have not transferred to File Storage.,Megan O'Brien found the upload worker had stalled due to a credential/token expiry. Restarted the service.,Wei Chen confirmed the backlog is draining; affected CIDs becoming playable.,"Upload service token expiry caused the stall. Service restarted, backlog cleared, monitoring added on upload lag."
112,Interaction exists in Contact History but the recording is missing entirely.,CID 412293014039 appears in Contact History Report with talk time but there is no associated recording. Customer expects 100% recording on this queue. No archive entry found.,Get file returns no media for the segment. Checked both active and archive storage - nothing present.,Arjun Mehta reviewed recorder logs for the timestamp - no recording trigger received for this contact. Possible recording rule / business unit mapping gap.,Daniel Cohen confirmed the recording control did not start; the call matched a queue not included in the recording profile.,Recording profile did not cover the queue. Profile updated; customer informed prior interactions cannot be recovered.
113,"Recording for a single CID is returning ""Playback Unavailable - Error 8210"" across multiple applications. The recording shows as available in active storage but cannot be played back.","Single CID affected - no other recordings reported with this issue. Active storage - Contact History Report confirms the recording is present, not archived or deleted. All users affected including impersonated admin with full Administrator permissions, which rules out a permissions issue. Error occurs in both Contact History Report and QM Workspace. Error: Playback Unavailable - Error 8210. CID 145354038423.","Reproduced from QM Workspace. Get file shows the recording is in Storage, Active Playable, and complete. File name: 2026-04-17-08-42-07_145354038423_VOICE_24ed3a8f-c810-a1cf-03fd-fb9d81190049.mp4. Same error in Contact History Report. Routing to Mpower Recording.",Updating the customer (Tier 1 financial). Sandeep Kulkarni please review. Will analyse and update by tomorrow.,"There are two recordings in this segment: one is in failed status and the other is a statement recording, which is not playable in the player as per design. Vinayak Bhati checked from the recording side - the first recording is showing a failed status.",'Failed' recording is actually a 'Short' recording which was not captured. KI shared with customer.
114,Recording is truncated - playback far shorter than the actual call duration.,Contact History shows CID 280780999159 talk time of 27 minutes but the recording is only 2 minutes long.,File in storage matches the short duration; the rest of the call was not captured.,"Tomas Novak found the recorder lost the media stream mid-call (RTP gap), so capture stopped while the call continued.",Sandeep Kulkarni confirmed an RTP timeout on the recorder during a network blip; the remainder was never received.,RTP stream loss mid-call truncated the recording. Network event confirmed; recorder timeout settings reviewed.
115,Recording playback is extremely slow / constantly buffering.,Playback for CID 467781192281 and others buffers every few seconds for users in the EMEA region. Download works fine.,Storage and file integrity confirmed good. Issue appears network/CDN related rather than media.,"Megan O'Brien ran a HAR capture - segment requests are taking 3s each, suggesting a CDN edge or routing issue for that region.",Sandeep Kulkarni confirmed with the platform team that one CDN edge node was unhealthy and pulled it from rotation.,Unhealthy CDN edge node caused buffering. Node removed from rotation; playback latency back to normal.
116,Recording is fine in storage; voice and screen appear to be just over 12 minutes long but playback stops early.,"We have analyzed the media and found the uploaded media has corrupt packets, so playback stops at 5:43. Analyzed via ffmpeg. Segment a2a63fbd-bc08-991a-4f2f-23bdc657a940 on AU1, recorded 05/23/2026. Need to confirm whether the corruption is internal to NICE or originated on the customer side.","The corruption is on the audio media uploaded to File Storage. Customer reports they can play the full recording outside CXone by downloading it, and asks why the issue would not persist outside the player.","In CXone Player, playback uses an HTML video element to decode the stream. When the file has corrupt or incomplete packets the decode is disrupted and playback stops. Anita Desai ran ffmpeg -i <input> -f null - on the audio-only file from File Storage and confirmed the corrupt packets.","Due to strict playback SLAs and on-the-fly stream switching, re-encoding or correction at the playback stage is not feasible - this must be addressed at the recording stage. Cfir Moshe confirmed the recorder logs showed zero issues at capture, so cause is unclear.",Cannot reproduce in lab; corrupt packets confirmed at File Storage. Customer advised to download and use an external player. Swarm closed.
